Designator,Footprint,Quantity,Value,LCSC Part #
"BUS_I2C_1_1, BUS_I2C_2_1",RJ9_Evercom_5301-440xxx_Horizontal,2,TSL2591,
BUS_I2C_1_2,RJ9_Evercom_5301-440xxx_Horizontal,1,BME680,
"BUS_I2C_1_3, BUS_I2C_2_2",RJ9_Evercom_5301-440xxx_Horizontal,2,EXTENDER,
"C1, C10, C5, C7",0805,4,10u,
"C11, C13, C14, C16, C17, C18, C4, C6, C8, C9",0805,10,0.1u,
C12,0805,1,1u,
C15,0805,1,1n,
"C2, C3",0805,2,100n,
"D1, D2, D4",0805,3,LED,
D3,D_SMA,1,D_Schottky,
DAVIS6450_1,RJ9_Evercom_5301-440xxx_Horizontal,1,SOLAR_RADIATION,
DHT22_1,RJ9_Evercom_5301-440xxx_Horizontal,1,AIR_HUMIDITY/AIR_TEMPERATURE,
DS18B20_1,RJ9_Evercom_5301-440xxx_Horizontal,1,TEMP_SOIL,
FC28_1,RJ9_Evercom_5301-440xxx_Horizontal,1,HUMIDITY_SOIL,
"HX711_1, HX711_2",RJ9_Evercom_5301-440xxx_Horizontal,2,NET_WEIGHT,
J1,USB_C_Receptacle_XKB_U262-16XN-4BVC11,1,USB,
J2,TerminalBlock_Altech_AK300-2_P5.00mm,1,VEXT,
J3,TerminalBlock_Altech_AK300-2_P5.00mm,1,VOLTAGE,
J4,TerminalBlock_Altech_AK300-2_P5.00mm,1,CURRENT,
J5,PinHeader_1x12_P2.54mm_Vertical,1,RIGHT_ROW,
J6,PinHeader_1x09_P2.54mm_Vertical,1,LEFT_ROW,
J7,PinHeader_1x10_P2.54mm_Vertical,1,LOW_ROW,
"PLUVIOMETER_1, PLUVIOMETER_2, PLUVIOMETER_3",RJ9_Evercom_5301-440xxx_Horizontal,3,PLUVIOMETER,
"Q1, Q2",SOT-23-3,2,Q_NPN_BEC,
"R1, R2",0805,2,5.1K,
R10,0805,1,R,
"R11, R12, R14, R15, R8, R9",0805,6,10K,
R13,0805,1,2.2k,
"R3, R4, R5, R6, R7",0805,5,1K,
SW1,SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,1,RESET,
SW2,SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,1,BOOT,
U1,SOIC-16_3.9x9.9mm_P1.27mm,1,CH340C,
U2,SOT-223-3_TabPin2,1,AZ1117-3.3,
U3,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,
U4,SOIC-8_3.9x4.9mm_P1.27mm,1,ACS712,
W_SPEED_1/W_DIR_1,RJ9_Evercom_5301-440xxx_Horizontal,1,WIND,
