Designator,Footprint,Quantity,Value,LCSC Part #
"BUS_I2C_1_1, BUS_I2C_2_1",RJ11-TH_PCB-6P4C-90,2,TSL2591,C189749
BUS_I2C_1_2,RJ11-TH_PCB-6P4C-90,1,PRES_ATMOS,C189749
"BUS_I2C_1_3, BUS_I2C_2_2",RJ11-TH_PCB-6P4C-90,2,EXTENDER,C189749
"C1, C10, C5, C6",C0805,4,10u,C1713
"C11, C13, C15, C16, C17, C18, C19, C2, C3, C4, C7, C8, C9",C0805,13,100n,C1711
C12,C0805,1,1u,C1712
C14,C0805,1,1n,C1791
D1,SMA_L4.4-W2.8-LS5.4-R-RD,1,SS54_C22452,C22452
DAVIS6450_1,RJ11-TH_PCB-6P4C-90,1,SOLAR_RADIATION,C189749
DHT22_1,RJ11-TH_PCB-6P4C-90,1,AIR_HUMIDITY/AIR_TEMPERATURE,C189749
DS18B20_1,RJ11-TH_PCB-6P4C-90,1,TEMP_SOIL,C189749
FC28_1,RJ11-TH_PCB-6P4C-90,1,HUMIDITY_SOIL,C189749
H1,HDR-TH_6P-P2.54-V-M-1,1,LEFT_ROW_2,C37208
H2,HDR-TH_10P-P2.54-V-M-1,1,LOW_ROW,C57369
H3,HDR-TH_6P-P2.54-V-M-1,1,RIGHT_ROW_1,C37208
H4,HDR-TH_6P-P2.54-V-M-1,1,RIGHT_ROW_2,C37208
H5,HDR-TH_3P-P2.54-V-M,1,LEFT_ROW_1,C5445396
H6,HDR-TH_3P-P2.54-V-M,1,5V_ROW,C5445396
H7,HDR-TH_3P-P2.54-V-M,1,3V3_ROW,C5445396
H8,HDR-TH_3P-P2.54-V-M,1,GND_ROW,C5445396
"HX711_1, HX711_2",RJ11-TH_PCB-6P4C-90,2,NET_WEIGHT,C189749
LED1,LED0805-R-RD,1,Green,C2297
LED2,LED0805-R-RD,1,Blue,C2293
LED3,LED0805-R-RD,1,Red,C2295
P1,CONN-TH_2P-P5.00_CPC3703CTR,1,VEXT,C3703
P2,CONN-TH_2P-P5.00_CPC3703CTR,1,VOLTAGE,C3703
P3,CONN-TH_2P-P5.00_CPC3703CTR,1,CURRENT,C3703
"PLUVIOMETER_1, PLUVIOMETER_2, PLUVIOMETER_3",RJ11-TH_PCB-6P4C-90,3,PLUVIOMETER,C189749
"Q1, Q2",SOT-23-3_L3.0-W1.7-P0.95-LS2.9-BR,2,MMBT2222ALT1,C402270
"R1, R2",R0805,2,5.1k,C26023
"R10, R11, R13, R8, R9",R0805,5,10k,C17414
R12,R0805,1,100k,C25611
R14,R0603,1,2.2k,C4190
"R3, R4",R0805,2,1k,C17513
"R5, R6, R7",R0805,3,470,C17710
U1,WIRELM-SMD_ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,C2913202
U2,SOP-16_L10.0-W3.9-P1.27-LS6.0-BL,1,CH340C,C84681
U3,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR-1,1,A1117-3.3,C7432020
U4,SW-SMD_KSR213GLFG,1,RESET,C668561
U5,SW-SMD_KSR213GLFG,1,BOOT,C668561
U6,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,1,ACS712ELCTR-20A-T,C10681
UART_1,RJ11-TH_PCB-6P4C-90,1,COMMUNICATION,C189749
USB1,USB-TYPE-C-TH_USB-306-1,1,USB-306,C309338
W_SPEED_1/W_DIR_1,RJ11-TH_PCB-6P4C-90,1,WIND,C189749
